Interest,Percentage,Goal,Recommended_Course
ai,77,research,Machine Learning
iot,71,higher studies,PhD in IoT
web,51,startup,Tech Startup Management
ai,66,higher studies,PhD in AI
ai,71,job,AI Engineer
ai,64,research,Deep Learning
ai,68,higher studies,PhD in AI
web,93,higher studies,MTech in Web Technologies
ai,83,startup,AI Product Development
iot,69,job,IoT Fundamentals
ai,85,startup,AI Product Development
web,50,startup,Entrepreneurship + Web Development
web,81,startup,Tech Startup Management
iot,63,higher studies,PhD in IoT
iot,52,higher studies,PhD in IoT
ai,71,startup,AI Product Development
ai,83,research,Machine Learning
cyber,74,higher studies,PhD in Cyber Law
cyber,69,startup,Security Product Development
web,66,higher studies,PhD in Web Science
web,81,higher studies,MTech in Web Technologies
iot,85,startup,IoT Product Development
iot,82,research,Advanced IoT
ai,79,startup,AI Startup Accelerator
cyber,81,startup,Cyber Security Consultancy
cyber,53,job,Network Security
ai,81,startup,AI Product Development
ai,76,higher studies,PhD in AI
web,80,job,Full Stack Development
web,87,higher studies,PhD in Web Science
cyber,50,job,Network Security
ai,50,higher studies,PhD in AI
web,95,higher studies,PhD in Web Science
web,67,job,Full Stack Development
web,79,job,Frontend Development
cyber,89,startup,Cyber Security Consultancy
iot,85,job,IoT Fundamentals
ai,72,job,AI Engineer
web,76,startup,Entrepreneurship + Web Development
web,73,higher studies,PhD in Web Science
ai,91,startup,AI Startup Accelerator
cyber,69,job,Network Security
cyber,72,job,Network Security
iot,61,research,Advanced IoT
web,94,higher studies,PhD in Web Science
cyber,62,job,Ethical Hacking
ai,51,higher studies,PhD in AI
web,53,startup,Tech Startup Management
web,72,startup,Tech Startup Management
web,87,higher studies,MTech in Web Technologies
cyber,77,startup,Cyber Security Consultancy
iot,86,job,IoT Fundamentals
iot,90,higher studies,PhD in IoT
iot,63,higher studies,PhD in IoT
cyber,58,higher studies,PhD in Cyber Law
web,92,startup,Entrepreneurship + Web Development
cyber,66,higher studies,MTech in Cyber Security
iot,56,research,Embedded Systems
cyber,58,job,Network Security
web,62,higher studies,PhD in Web Science
web,85,startup,Entrepreneurship + Web Development
iot,63,startup,IoT Product Development
web,74,higher studies,MTech in Web Technologies
cyber,61,startup,Cyber Security Consultancy
web,78,startup,Entrepreneurship + Web Development
iot,88,job,IoT Developer
iot,90,higher studies,PhD in IoT
cyber,72,job,Ethical Hacking
ai,65,job,Data Science
web,72,higher studies,MTech in Web Technologies
iot,94,research,Advanced IoT
web,63,job,Frontend Development
ai,73,startup,AI Product Development
ai,94,job,Data Science
iot,55,startup,IoT Startup Bootcamp
web,75,research,General Elective
cyber,92,job,Ethical Hacking
web,92,job,Full Stack Development
iot,51,startup,IoT Product Development
cyber,52,job,Ethical Hacking
ai,62,higher studies,PhD in AI
web,82,startup,Entrepreneurship + Web Development
cyber,71,research,Forensics
cyber,55,research,Forensics
iot,59,job,IoT Fundamentals
cyber,95,startup,Security Product Development
cyber,67,research,Cyber Security Advanced
cyber,82,higher studies,PhD in Cyber Law
iot,72,job,IoT Developer
web,87,higher studies,MTech in Web Technologies
ai,90,startup,AI Startup Accelerator
ai,71,higher studies,PhD in AI
iot,89,startup,IoT Product Development
web,87,research,General Elective
iot,58,research,Embedded Systems
web,87,research,General Elective
cyber,56,research,Forensics
iot,67,higher studies,MTech in IoT
iot,80,research,Advanced IoT
iot,72,research,Embedded Systems
web,55,research,General Elective
ai,69,higher studies,MTech in AI
cyber,67,startup,Security Product Development
iot,64,research,Advanced IoT
iot,93,startup,IoT Product Development
cyber,73,startup,Security Product Development
ai,57,higher studies,PhD in AI
web,80,startup,Entrepreneurship + Web Development
cyber,55,startup,Security Product Development
ai,61,research,Machine Learning
cyber,90,research,Cyber Security Advanced
web,67,higher studies,PhD in Web Science
ai,71,job,Data Science
web,67,research,General Elective
web,83,startup,Entrepreneurship + Web Development
ai,72,research,Deep Learning
web,66,research,General Elective
cyber,95,startup,Security Product Development
iot,74,research,Embedded Systems
iot,86,job,IoT Fundamentals
iot,77,job,IoT Fundamentals
cyber,79,startup,Security Product Development
ai,70,startup,AI Startup Accelerator
web,68,startup,Entrepreneurship + Web Development
ai,54,research,Deep Learning
web,53,startup,Entrepreneurship + Web Development
ai,87,job,AI Engineer
ai,90,higher studies,MTech in AI
iot,61,startup,IoT Product Development
web,94,startup,Entrepreneurship + Web Development
ai,58,job,Data Science
iot,76,higher studies,PhD in IoT
iot,76,job,IoT Fundamentals
iot,66,research,Embedded Systems
ai,54,job,Data Science
iot,56,higher studies,MTech in IoT
iot,51,startup,IoT Startup Bootcamp
cyber,54,job,Network Security
cyber,51,research,Forensics
ai,52,startup,AI Startup Accelerator
web,64,research,General Elective
cyber,87,job,Network Security
cyber,94,job,Network Security
cyber,83,research,Forensics
ai,68,research,Deep Learning
web,62,higher studies,PhD in Web Science
ai,51,startup,AI Product Development
web,79,research,General Elective
iot,70,startup,IoT Startup Bootcamp
cyber,53,research,Forensics
ai,78,research,Deep Learning
web,86,startup,Tech Startup Management
ai,65,research,Deep Learning
web,52,startup,Entrepreneurship + Web Development
iot,72,research,Embedded Systems
iot,93,research,Embedded Systems
web,59,startup,Entrepreneurship + Web Development
ai,66,research,Machine Learning
cyber,66,job,Ethical Hacking
web,68,research,General Elective
cyber,85,research,Forensics
iot,60,research,Embedded Systems
web,94,research,General Elective
web,64,job,Full Stack Development
iot,66,research,Advanced IoT
web,50,research,General Elective
cyber,76,startup,Security Product Development
web,61,job,Frontend Development
ai,50,startup,AI Product Development
web,70,startup,Entrepreneurship + Web Development
ai,87,higher studies,MTech in AI
iot,65,job,IoT Developer
ai,71,startup,AI Startup Accelerator
iot,83,research,Embedded Systems
ai,80,higher studies,PhD in AI
ai,91,startup,AI Product Development
ai,51,higher studies,MTech in AI
ai,62,higher studies,PhD in AI
ai,63,research,Deep Learning
iot,80,startup,IoT Product Development
cyber,54,job,Ethical Hacking
iot,79,research,Embedded Systems
ai,77,higher studies,MTech in AI
ai,77,higher studies,PhD in AI
cyber,83,research,Cyber Security Advanced
web,64,research,General Elective
web,66,job,Frontend Development
ai,59,job,Data Science
web,86,job,Frontend Development
web,58,research,General Elective
iot,72,research,Embedded Systems
ai,79,higher studies,MTech in AI
web,56,startup,Entrepreneurship + Web Development
iot,81,job,IoT Developer
web,75,job,Full Stack Development
ai,83,research,Machine Learning
iot,52,startup,IoT Startup Bootcamp
cyber,80,job,Network Security
iot,88,higher studies,MTech in IoT
iot,76,research,Embedded Systems
ai,89,higher studies,PhD in AI
web,79,startup,Tech Startup Management
iot,53,research,Advanced IoT
ai,88,higher studies,MTech in AI
web,89,job,Frontend Development
web,54,job,Frontend Development
iot,89,startup,IoT Product Development
cyber,77,startup,Cyber Security Consultancy
web,66,higher studies,MTech in Web Technologies
web,92,startup,Entrepreneurship + Web Development
ai,51,job,Data Science
ai,91,higher studies,MTech in AI
web,83,startup,Tech Startup Management
iot,89,startup,IoT Startup Bootcamp
cyber,58,job,Network Security
web,69,research,General Elective
ai,89,job,Data Science
ai,78,higher studies,MTech in AI
ai,58,research,Deep Learning
cyber,66,higher studies,MTech in Cyber Security
web,93,higher studies,MTech in Web Technologies
web,90,job,Frontend Development
web,95,higher studies,PhD in Web Science
web,88,startup,Entrepreneurship + Web Development
ai,54,higher studies,MTech in AI
iot,87,research,Advanced IoT
ai,75,startup,AI Product Development
web,88,job,Frontend Development
cyber,71,higher studies,MTech in Cyber Security
iot,67,higher studies,MTech in IoT
ai,86,research,Deep Learning
ai,63,startup,AI Startup Accelerator
web,72,startup,Tech Startup Management
cyber,84,startup,Cyber Security Consultancy
web,95,startup,Tech Startup Management
ai,59,research,Machine Learning
iot,67,research,Advanced IoT
iot,95,higher studies,MTech in IoT
cyber,74,startup,Security Product Development
iot,73,higher studies,PhD in IoT
ai,53,research,Machine Learning
cyber,50,research,Forensics
ai,59,startup,AI Product Development
ai,60,research,Machine Learning
web,54,startup,Tech Startup Management
iot,71,research,Advanced IoT
iot,65,higher studies,PhD in IoT
iot,77,higher studies,PhD in IoT
cyber,87,research,Forensics
iot,93,higher studies,MTech in IoT
ai,79,startup,AI Startup Accelerator
ai,69,higher studies,MTech in AI
iot,89,research,Advanced IoT
iot,52,startup,IoT Product Development
ai,59,research,Machine Learning
iot,81,higher studies,PhD in IoT
cyber,66,job,Network Security
iot,73,research,Advanced IoT
ai,93,startup,AI Product Development
iot,73,job,IoT Fundamentals
web,68,research,General Elective
web,83,research,General Elective
ai,71,research,Deep Learning
iot,60,job,IoT Fundamentals
iot,65,job,IoT Developer
cyber,50,startup,Cyber Security Consultancy
ai,90,startup,AI Startup Accelerator
iot,91,startup,IoT Product Development
iot,82,higher studies,PhD in IoT
ai,85,job,Data Science
cyber,55,job,Network Security
web,67,job,Full Stack Development
cyber,68,startup,Security Product Development
web,76,research,General Elective
iot,79,job,IoT Fundamentals
cyber,92,job,Ethical Hacking
web,75,higher studies,PhD in Web Science
web,52,startup,Tech Startup Management
iot,90,higher studies,PhD in IoT
ai,67,job,Data Science
iot,62,job,IoT Developer
web,50,job,Frontend Development
iot,63,startup,IoT Startup Bootcamp
iot,63,research,Embedded Systems
iot,81,startup,IoT Product Development
iot,62,higher studies,MTech in IoT
cyber,52,startup,Security Product Development
ai,75,research,Deep Learning
ai,67,job,AI Engineer
iot,56,startup,IoT Product Development
ai,52,startup,AI Startup Accelerator
ai,72,higher studies,PhD in AI
iot,81,job,IoT Developer
iot,59,startup,IoT Product Development
ai,60,higher studies,PhD in AI
iot,79,higher studies,MTech in IoT
iot,72,higher studies,MTech in IoT
cyber,55,research,Forensics
web,89,research,General Elective
cyber,75,startup,Security Product Development
ai,79,higher studies,PhD in AI
iot,75,job,IoT Developer
cyber,66,higher studies,PhD in Cyber Law
ai,92,startup,AI Product Development
iot,79,higher studies,PhD in IoT
iot,74,higher studies,PhD in IoT
web,72,research,General Elective
cyber,90,higher studies,MTech in Cyber Security
web,77,job,Frontend Development
iot,78,higher studies,PhD in IoT
ai,81,job,AI Engineer
web,82,higher studies,PhD in Web Science
web,53,higher studies,MTech in Web Technologies
ai,65,startup,AI Startup Accelerator
web,80,research,General Elective
cyber,91,job,Ethical Hacking
iot,77,higher studies,PhD in IoT
ai,87,job,Data Science
cyber,52,startup,Security Product Development
web,67,startup,Tech Startup Management
iot,50,job,IoT Fundamentals
web,73,job,Frontend Development
iot,76,startup,IoT Product Development
cyber,88,startup,Security Product Development
web,60,startup,Tech Startup Management
iot,77,job,IoT Fundamentals
web,93,higher studies,PhD in Web Science
iot,82,job,IoT Fundamentals
iot,63,startup,IoT Product Development
ai,51,job,Data Science
web,59,research,General Elective
cyber,53,startup,Cyber Security Consultancy
web,91,startup,Entrepreneurship + Web Development
ai,82,startup,AI Startup Accelerator
web,52,job,Full Stack Development
web,86,job,Full Stack Development
ai,68,startup,AI Startup Accelerator
ai,69,higher studies,MTech in AI
cyber,73,research,Forensics
web,93,job,Frontend Development
web,56,startup,Tech Startup Management
ai,75,job,Data Science
web,67,startup,Tech Startup Management
web,55,job,Full Stack Development
cyber,58,startup,Cyber Security Consultancy
web,68,job,Frontend Development
web,95,startup,Tech Startup Management
web,53,higher studies,MTech in Web Technologies
ai,62,job,Data Science
iot,61,research,Embedded Systems
iot,65,higher studies,PhD in IoT
iot,52,research,Embedded Systems
iot,70,startup,IoT Startup Bootcamp
cyber,76,job,Ethical Hacking
ai,65,startup,AI Startup Accelerator
web,70,research,General Elective
web,61,higher studies,PhD in Web Science
iot,59,research,Embedded Systems
ai,69,research,Machine Learning
iot,84,job,IoT Fundamentals
iot,70,research,Advanced IoT
web,60,higher studies,PhD in Web Science
ai,92,research,Deep Learning
iot,65,job,IoT Developer
ai,60,startup,AI Startup Accelerator
cyber,53,higher studies,MTech in Cyber Security
ai,69,startup,AI Product Development
cyber,68,research,Cyber Security Advanced
iot,75,higher studies,PhD in IoT
ai,90,job,AI Engineer
ai,87,higher studies,MTech in AI
ai,60,research,Deep Learning
cyber,51,higher studies,PhD in Cyber Law
cyber,63,higher studies,PhD in Cyber Law
iot,79,higher studies,MTech in IoT
iot,58,job,IoT Developer
iot,73,higher studies,PhD in IoT
iot,50,startup,IoT Startup Bootcamp
iot,73,higher studies,PhD in IoT
iot,88,startup,IoT Startup Bootcamp
cyber,63,higher studies,MTech in Cyber Security
cyber,81,research,Forensics
ai,69,job,Data Science
ai,59,higher studies,MTech in AI
iot,70,higher studies,PhD in IoT
iot,92,higher studies,MTech in IoT
ai,77,higher studies,PhD in AI
iot,64,research,Advanced IoT
cyber,80,job,Ethical Hacking
cyber,50,job,Network Security
iot,74,higher studies,PhD in IoT
cyber,64,research,Cyber Security Advanced
ai,53,startup,AI Startup Accelerator
cyber,62,higher studies,MTech in Cyber Security
web,57,research,General Elective
iot,60,job,IoT Fundamentals
web,75,research,General Elective
cyber,84,job,Network Security
web,94,startup,Entrepreneurship + Web Development
web,55,startup,Tech Startup Management
iot,65,higher studies,PhD in IoT
ai,78,higher studies,MTech in AI
iot,81,research,Embedded Systems
cyber,63,job,Network Security
cyber,62,higher studies,PhD in Cyber Law
web,51,job,Full Stack Development
ai,73,startup,AI Startup Accelerator
iot,88,research,Embedded Systems
cyber,66,research,Forensics
iot,63,research,Embedded Systems
iot,71,job,IoT Fundamentals
cyber,95,research,Cyber Security Advanced
iot,64,higher studies,PhD in IoT
web,94,research,General Elective
iot,88,startup,IoT Product Development
ai,89,higher studies,PhD in AI
web,74,startup,Tech Startup Management
iot,57,job,IoT Developer
iot,62,higher studies,MTech in IoT
web,58,research,General Elective
cyber,86,higher studies,PhD in Cyber Law
ai,58,higher studies,MTech in AI
cyber,58,higher studies,PhD in Cyber Law
iot,81,startup,IoT Product Development
cyber,60,higher studies,PhD in Cyber Law
ai,50,job,AI Engineer
ai,94,startup,AI Product Development
web,51,research,General Elective
iot,79,higher studies,PhD in IoT
ai,67,job,Data Science
cyber,59,research,Cyber Security Advanced
ai,83,startup,AI Product Development
web,88,startup,Entrepreneurship + Web Development
ai,58,higher studies,MTech in AI
web,80,job,Full Stack Development
web,82,research,General Elective
iot,91,research,Advanced IoT
cyber,80,research,Forensics
cyber,86,startup,Cyber Security Consultancy
web,90,higher studies,MTech in Web Technologies
ai,90,job,Data Science
web,86,research,General Elective
ai,74,higher studies,PhD in AI
cyber,95,job,Ethical Hacking
ai,77,research,Deep Learning
ai,82,research,Machine Learning
ai,94,higher studies,PhD in AI
iot,61,job,IoT Developer
web,72,higher studies,PhD in Web Science
cyber,74,startup,Cyber Security Consultancy
web,63,startup,Entrepreneurship + Web Development
ai,65,startup,AI Product Development
ai,85,job,Data Science
cyber,74,research,Forensics
iot,88,research,Advanced IoT
iot,86,research,Embedded Systems
ai,93,research,Deep Learning
iot,86,job,IoT Fundamentals
web,64,research,General Elective
iot,86,job,IoT Developer
iot,79,job,IoT Developer
ai,50,startup,AI Startup Accelerator
web,55,startup,Tech Startup Management
ai,68,startup,AI Product Development
ai,68,startup,AI Product Development
web,88,research,General Elective
web,58,higher studies,MTech in Web Technologies
web,76,startup,Entrepreneurship + Web Development
cyber,63,research,Cyber Security Advanced
cyber,51,job,Ethical Hacking
cyber,93,startup,Security Product Development
iot,84,higher studies,PhD in IoT
ai,74,research,Machine Learning
iot,80,job,IoT Fundamentals
web,87,research,General Elective
web,85,startup,Entrepreneurship + Web Development
iot,75,research,Embedded Systems
iot,80,research,Embedded Systems
ai,75,higher studies,PhD in AI
iot,94,job,IoT Fundamentals
ai,66,higher studies,MTech in AI
web,84,research,General Elective
web,59,research,General Elective
ai,88,higher studies,PhD in AI
web,87,job,Full Stack Development
ai,78,job,Data Science
web,62,higher studies,PhD in Web Science
web,61,job,Frontend Development
web,54,startup,Entrepreneurship + Web Development
web,88,startup,Entrepreneurship + Web Development
cyber,58,research,Forensics
cyber,62,research,Forensics
ai,54,startup,AI Product Development
web,86,research,General Elective
web,95,job,Frontend Development
cyber,77,startup,Cyber Security Consultancy
iot,67,research,Advanced IoT
